team	points
University_of_Hong_Kong_C	3
Fordham_University_A	6
Colgate_University_A	4
Ben-Gurion_University_of_the_Negev_B	5
Copenhagen_Debating_Society_B	3
Alneelain_University_A	4
Middlebury_Debate_society_C	4
University_of_Tokyo_C	6
Chulalongkorn_University_B	3
Universitu00e9_du_Quu00e9bec_u00e0_Montru00e9al_A	4
University_of_Belgrade_A	3
Universitas_Padjadjaran_A	4
International_Islamic_University_Malaysia_C	5
Universitas_Udayana_A	3
Durham_Debate_B	4
Universidad_de_Almeru00eda_A	5
Alneelain_University_B	2
Swing_A	2
Swing_B	2
Swing_C	0
Lebanese_International_University_A	0
Lebanese_International_University_B	0
University_of_Namibia_A	0
